pair_index,p_start,q_start,start_gap,Qp,Qq,sig_p,sig_q,sig_8,p_mod12,q_mod12,p_mod420,q_mod420,P_E,P_A,P_B,P_C,n_E,n_A,n_B,n_C,log_P_EAB,log_P_CE,log_raw_sqrt_EAB_times_CE,shadow_center_mu_geomean,shadow_start_mu_minus_4,root_1,root_2,root_3,root_4,poly_c4,poly_c3,poly_c2,poly_c1,poly_c0,projected_quad_start,projection_distance,projected_quad,projected_mod12,projected_mod420,projection_equals_left,projection_equals_right,projection_between_pair,model_note
1,5,11,6,"(5,7,11,13)","(11,13,17,19)",ABCE,CEAB,ABCECEAB,5,11,5,11,169,85,133,121,2,2,2,2,14.462899099635145,9.925689260519814,12.19429418007748,11.45995558947927,7.45995558947927,7.45995558947927,9.45995558947927,13.45995558947927,15.45995558947927,1.0,-45.83982235791708,767.9834926770229,-5561.772330635126,14685.11015583992,5,2.4599555894792697,"(5,7,11,13)",5,5,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
2,11,101,90,"(11,13,17,19)","(101,103,107,109)",CEAB,ABCE,CEABABCE,11,5,11,101,1417,1717,1957,1177,2,2,2,2,22.283799067984233,14.327021346950957,18.305410207467595,38.903415214718855,34.903415214718855,34.903415214718855,36.903415214718855,40.903415214718855,42.903415214718855,1.0,-155.61366085887542,9060.85429221291,-233961.36008095843,2260403.2267037802,11,23.903415214718855,"(11,13,17,19)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
3,101,191,90,"(101,103,107,109)","(191,193,197,199)",ABCE,CEAB,ABCECEAB,5,11,101,191,21037,19897,20497,20437,2,2,2,2,29.780396129667402,19.879140333642567,24.829768231654985,143.44528113259128,139.44528113259128,139.44528113259128,141.44528113259128,145.44528113259128,147.44528113259128,1.0,-573.7811245303651,123439.29207524889,-11800697.428864546,422982888.57423836,101,38.445281132591276,"(101,103,107,109)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
4,191,821,630,"(191,193,197,199)","(821,823,827,829)",CEAB,ABCE,CEABABCE,11,5,191,401,159997,161737,163777,157957,2,2,2,2,35.98289820763216,23.9529884671105,29.96794333737133,400.85055116323855,396.85055116323855,396.85055116323855,398.85055116323855,402.85055116323855,404.85055116323855,1.0,-1603.4022046529542,964066.9862072327,-257620499.17160335,25815223023.32778,191,205.85055116323855,"(191,193,197,199)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
5,821,1481,660,"(821,823,827,829)","(1481,1483,1487,1489)",ABCE,ABCE,ABCEABCE,5,5,401,221,1234381,1215901,1220509,1229749,2,2,2,2,42.05185465435453,28.048400829303148,35.05012774182884,1107.6828040246376,1103.6828040246376,1103.6828040246376,1105.6828040246376,1109.6828040246376,1111.6828040246376,1.0,-4430.73121609855,7361747.165991303,-5436290957.355675,1505409233236.4355,821,282.68280402463756,"(821,823,827,829)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
6,1481,1871,390,"(1481,1483,1487,1489)","(1871,1873,1877,1879)",ABCE,CEAB,ABCECEAB,5,11,221,191,2788897,2779837,2786557,2782177,2,2,2,2,44.5193769275338,29.67990100786234,37.09963896769807,1668.9129970937688,1664.9129970937688,1664.9129970937688,1666.9129970937688,1670.9129970937688,1672.9129970937688,1.0,-6675.651988375075,16711603.551211037,-18593430408.249733,7757676564579.7,1481,183.9129970937688,"(1481,1483,1487,1489)",5,221,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
7,1871,2081,210,"(1871,1873,1877,1879)","(2081,2083,2087,2089)",CEAB,ABCE,CEABABCE,11,5,191,401,3912697,3906037,3913957,3904777,2,2,2,2,45.53783076765524,30.357448697351945,37.94763973250359,1977.37986431284,1973.37986431284,1973.37986431284,1975.37986431284,1979.37986431284,1981.37986431284,1.0,-7909.51945725136,23460166.766739193,-30926388188.51785,15288265219727.133,1871,102.37986431284003,"(1871,1873,1877,1879)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
8,2081,3251,1170,"(2081,2083,2087,2089)","(3251,3253,3257,3259)",ABCE,CEAB,ABCECEAB,5,11,401,311,6795517,6777817,6788497,6784837,2,2,2,2,47.19167943979832,31.461974515411022,39.32682697760467,2605.462275685877,2601.462275685877,2601.462275685877,2603.462275685877,2607.462275685877,2609.462275685877,1.0,-10421.849102743508,40730582.020133376,-70747927134.46396,46082695923682.08,2081,520.4622756858771,"(2081,2083,2087,2089)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
9,3251,3461,210,"(3251,3253,3257,3259)","(3461,3463,3467,3469)",CEAB,ABCE,CEABABCE,11,5,311,101,11284657,11272477,11285917,11271217,2,2,2,2,48.71589544559467,32.476717439432036,40.59630644251335,3358.538837232577,3354.538837232577,3354.538837232577,3356.538837232577,3360.538837232577,3362.538837232577,1.0,-13434.155348930308,67678678.7271973,-151534224410.88324,127233281665699.84,3251,103.53883723257695,"(3251,3253,3257,3259)",11,311,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
10,3461,5651,2190,"(3461,3463,3467,3469)","(5651,5653,5657,5659)",ABCE,CEAB,ABCECEAB,5,11,101,191,19610257,19578877,19597117,19592017,2,2,2,2,50.37241816416849,33.58219604895991,41.9773071065642,4426.929118014215,4422.929118014215,4422.929118014215,4424.929118014215,4428.929118014215,4430.929118014215,1.0,-17707.71647205686,117586188.49553272,-347030363100.0115,384069508833671.5,3461,961.9291180142154,"(3461,3463,3467,3469)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
11,5651,9431,3780,"(5651,5653,5657,5659)","(9431,9433,9437,9439)",CEAB,CEAB,CEABCEAB,11,11,191,191,53324749,53385109,53415301,53294581,2,2,2,2,53.3785613211571,35.58325632949887,44.48090882532799,7304.031719812825,7300.031719812825,7300.031719812825,7302.031719812825,7306.031719812825,7308.031719812825,1.0,-29216.1268792513,320093256.18419135,-1558647336204.1584,2846101862420504.5,5651,1649.031719812825,"(5651,5653,5657,5659)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
12,9431,13001,3570,"(9431,9433,9437,9439)","(13001,13003,13007,13009)",CEAB,ABCE,CEABABCE,11,5,191,401,122713897,122690437,122735317,122669017,2,2,2,2,55.87608183221118,37.25036653085904,46.563224181535105,11077.206818272547,11073.206818272547,11073.206818272547,11075.206818272547,11079.206818272547,11081.206818272547,1.0,-44308.82727309019,736227045.3687028,-5436892535777.716,1.5056394539837964e+16,9431,1642.206818272547,"(9431,9433,9437,9439)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
13,13001,15641,2640,"(13001,13003,13007,13009)","(15641,15643,15647,15649)",ABCE,ABCE,ABCEABCE,5,5,401,101,203577841,203348641,203405929,203520529,2,2,2,2,57.392705698614236,38.262836438130535,47.827771068372385,14264.856637853774,14260.856637853774,14260.856637853774,14262.856637853774,14266.856637853774,14268.856637853774,1.0,-57059.4265514151,1220916789.3911254,-11610801597879.23,4.140660302621641e+16,13001,1259.8566378537744,"(13001,13003,13007,13009)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
14,15641,15731,90,"(15641,15643,15647,15649)","(15731,15733,15737,15739)",ABCE,CEAB,ABCECEAB,5,11,101,191,246205717,246142417,246205177,246142957,2,2,2,2,57.96477464879208,38.64310104352816,48.303937846160125,15690.136872389576,15686.136872389576,15686.136872389576,15688.136872389576,15692.136872389576,15694.136872389576,1.0,-62760.5474895583,1477082350.4459138,-15450415748454.545,6.060478199533991e+16,15731,44.86312761042427,"(15731,15733,15737,15739)",11,191,False,True,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
15,15731,16061,330,"(15731,15733,15737,15739)","(16061,16063,16067,16069)",CEAB,ABCE,CEABABCE,11,5,191,101,252813577,252751957,252815557,252749977,2,2,2,2,58.04425284105531,38.696074250148015,48.37016354560166,15899.337316311048,15895.337316311048,15895.337316311048,15897.337316311048,15901.337316311048,15903.337316311048,1.0,-63597.34926524419,1516733542.587046,-16076705051054.254,6.3902236607499096e+16,15731,164.3373163110482,"(15731,15733,15737,15739)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
16,16061,18041,1980,"(16061,16063,16067,16069)","(18041,18043,18047,18049)",ABCE,ABCE,ABCEABCE,5,5,101,401,290029381,289756501,289824709,289961149,2,2,2,2,58.45483111258777,38.97075029261063,48.7127907025992,17027.04328437803,17023.04328437803,17023.04328437803,17025.04328437803,17029.04328437803,17031.04328437803,1.0,-68108.17313751212,1739521198.0484977,-19745934701455.445,8.405371831384402e+16,16061,962.043284378029,"(16061,16063,16067,16069)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
17,18041,18911,870,"(18041,18043,18047,18049)","(18911,18913,18917,18919)",ABCE,CEAB,ABCECEAB,5,11,401,11,341360737,341281597,341355517,341286817,2,2,2,2,58.94510391196589,39.29668414314128,49.12089402755358,18475.093478088922,18471.093478088922,18471.093478088922,18473.093478088922,18477.093478088922,18479.093478088922,1.0,-73900.37391235569,2047974454.144743,-25224345828039.016,1.1650553336087504e+17,18041,430.093478088922,"(18041,18043,18047,18049)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
18,18911,19421,510,"(18911,18913,18917,18919)","(19421,19423,19427,19429)",CEAB,ABCE,CEABABCE,11,5,11,101,367460677,367387057,367463737,367383997,2,2,2,2,59.166188567941234,39.444045041897624,49.30511680491943,19168.495692206354,19164.495692206354,19164.495692206354,19166.495692206354,19170.495692206354,19172.495692206354,1.0,-76673.98276882542,2204587342.612801,-28172414808817.54,1.3500569930115515e+17,18911,253.49569220635385,"(18911,18913,18917,18919)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
19,19421,21011,1590,"(19421,19423,19427,19429)","(21011,21013,21017,21019)",ABCE,CEAB,ABCECEAB,5,11,101,11,408261577,408171157,408252037,408180697,2,2,2,2,59.48201107328176,39.654639166164614,49.568325119723184,20204.588760344966,20200.588760344966,20200.588760344966,20202.588760344966,20206.588760344966,20208.588760344966,1.0,-80818.35504137987,2449352421.847949,-32992105069606.16,1.6664797473511722e+17,19421,779.5887603449664,"(19421,19423,19427,19429)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
20,21011,22271,1260,"(21011,21013,21017,21019)","(22271,22273,22277,22279)",CEAB,CEAB,CEABCEAB,11,11,11,11,468022549,468195709,468282301,467935981,2,2,2,2,59.89300586172794,39.927869086135054,49.910437473931495,21635.42928868342,21631.42928868342,21631.42928868342,21633.42928868342,21637.42928868342,21639.42928868342,1.0,-86541.71715473368,2808550783.033722,-40509467336390.24,2.191099243387575e+17,21011,620.4292886834191,"(21011,21013,21017,21019)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
21,22271,25301,3030,"(22271,22273,22277,22279)","(25301,25303,25307,25309)",CEAB,ABCE,CEABABCE,11,5,11,101,563707357,563630377,563725537,563612197,2,2,2,2,60.45003309341764,40.29992278322459,50.37497793832111,23741.873622875097,23737.873622875097,23737.873622875097,23739.873622875097,23743.873622875097,23745.873622875097,1.0,-94967.49449150039,3382059358.7474337,-53530949953845.74,3.177312565423987e+17,22271,1466.8736228750968,"(22271,22273,22277,22279)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
22,25301,31721,6420,"(25301,25303,25307,25309)","(31721,31723,31727,31729)",ABCE,ABCE,ABCEABCE,5,5,101,221,803029261,802573021,802687069,802915189,2,2,2,2,61.51071060516908,41.00766135949803,51.259185982333555,28334.550266567,28330.550266567,28330.550266567,28332.550266567,28336.550266567,28338.550266567,1.0,-113338.201066268,4817080412.851671,-90993203975106.0,6.44562869958689e+17,25301,3029.550266566999,"(25301,25303,25307,25309)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
23,31721,34841,3120,"(31721,31723,31727,31729)","(34841,34843,34847,34849)",ABCE,ABCE,ABCEABCE,5,5,221,401,1105723921,1105191361,1105324489,1105590769,2,2,2,2,62.47045520784718,41.64741175116769,52.05893347950743,33249.22361549583,33245.22361549583,33245.22361549583,33247.22361549583,33251.22361549583,33253.22361549583,1.0,-132996.89446198332,6633065206.199473,-147029511311414.88,1.2221542638624678e+18,31721,1524.22361549583,"(31721,31723,31727,31729)",5,221,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
24,34841,43781,8940,"(34841,34843,34847,34849)","(43781,43783,43787,43789)",ABCE,ABCE,ABCEABCE,5,5,401,101,1526002861,1525373821,1525531069,1525845589,2,2,2,2,63.43703141848522,42.291732222569266,52.86438182052724,39060.86556648716,39056.86556648716,39056.86556648716,39058.86556648716,39062.86556648716,39064.86556648716,1.0,-156243.46226594865,9154507292.819096,-238388651419865.56,2.3279167511643725e+18,34841,4215.865566487162,"(34841,34843,34847,34849)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
25,43781,51341,7560,"(43781,43783,43787,43789)","(51341,51343,51347,51349)",ABCE,ABCE,ABCEABCE,5,5,101,101,2248521361,2247760321,2247950569,2248331089,2,2,2,2,64.60002358861962,43.06699270395771,53.833508146288665,47415.36585270207,47411.36585270207,47411.36585270207,47413.36585270207,47417.36585270207,47419.36585270207,1.0,-189661.46341080827,13489301493.673512,-426400109015543.56,5.054479269668841e+18,43781,3630.365852702067,"(43781,43783,43787,43789)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
26,51341,55331,3990,"(51341,51343,51347,51349)","(55331,55333,55337,55339)",ABCE,CEAB,ABCECEAB,5,11,101,311,2841294217,2841056917,2841270277,2841080857,2,2,2,2,65.3024845390403,43.53497589569315,54.41873021736672,53302.90137488949,53298.90137488949,53298.90137488949,53300.90137488949,53304.90137488949,53306.90137488949,1.0,-213211.60549955795,17047195749.887175,-605776661095036.9,8.072413376977657e+18,51341,1957.9013748894868,"(51341,51343,51347,51349)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
27,55331,62981,7650,"(55331,55333,55337,55339)","(62981,62983,62987,62989)",CEAB,ABCE,CEABABCE,11,5,311,401,3485370337,3485179597,3485416237,3485133697,2,2,2,2,65.9154788663868,43.94361238549134,54.92954562593907,59036.37894657877,59032.37894657877,59032.37894657877,59034.37894657877,59038.37894657877,59040.37894657877,1.0,-236145.51578631508,20911764214.744293,-823036556174462.9,1.2147274469447748e+19,55331,3701.3789465787704,"(55331,55333,55337,55339)",11,311,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
28,62981,67211,4230,"(62981,62983,62987,62989)","(67211,67213,67217,67219)",ABCE,CEAB,ABCECEAB,5,11,401,11,4233679657,4233393877,4233654277,4233419257,2,2,2,2,66.49893854276469,44.33261318560285,55.41577586418377,65065.85389432205,65061.85389432205,65061.85389432205,65063.85389432205,65067.85389432205,65069.85389432205,1.0,-260263.4155772882,25401392037.98358,-1101842173635467.4,1.792307542875623e+19,62981,2080.8538943220483,"(62981,62983,62987,62989)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
29,67211,69491,2280,"(67211,67213,67217,67219)","(69491,69493,69497,69499)",CEAB,CEAB,CEABCEAB,11,11,11,191,4670833009,4671379849,4671653281,4670559601,2,2,2,2,66.79410247070457,44.529147997594805,55.66162523414969,68345.09296588362,68341.09296588362,68341.09296588362,68343.09296588362,68347.09296588362,68349.09296588362,1.0,-273380.3718635345,28026310375.091656,-1276973856895029.2,2.181872419441292e+19,67211,1130.0929658836249,"(67211,67213,67217,67219)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
30,69491,72221,2730,"(69491,69493,69497,69499)","(72221,72223,72227,72229)",CEAB,ABCE,CEABABCE,11,5,191,401,5019409897,5019142837,5019426277,5019126457,2,2,2,2,67.00968469647968,44.67309995630036,55.84139232639002,70847.03996011312,70843.03996011312,70843.03996011312,70845.03996011312,70849.03996011312,70851.03996011312,1.0,-283388.1598404525,30115818406.65919,-1422411058169475.0,2.5193403219266863e+19,69491,1352.0399601131212,"(69491,69493,69497,69499)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
31,72221,77261,5040,"(72221,72223,72227,72229)","(77261,77263,77267,77269)",ABCE,ABCE,ABCEABCE,5,5,401,401,5581062601,5579866681,5580165649,5580763609,2,2,2,2,67.32756004535685,44.88523647696473,56.10639826116079,74703.30787224785,74699.30787224785,74699.30787224785,74701.30787224785,74705.30787224785,74707.30787224785,1.0,-298813.2314889914,33483505222.335087,-1667552397518656.5,3.1142919980429468e+19,72221,2478.307872247853,"(72221,72223,72227,72229)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
32,77261,79691,2430,"(77261,77263,77267,77269)","(79691,79693,79697,79699)",ABCE,CEAB,ABCECEAB,5,11,401,311,6157798417,6157469917,6157783837,6157484497,2,2,2,2,67.62289973617146,45.08191932098484,56.35240952857815,78470.80358353454,78466.80358353454,78466.80358353454,78468.80358353454,78472.80358353454,78474.80358353454,1.0,-313883.21433413815,36946002070.27394,-1932788312342996.2,3.791686294502794e+19,77261,1205.8035835345363,"(77261,77263,77267,77269)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
33,79691,81041,1350,"(79691,79693,79697,79699)","(81041,81043,81047,81049)",CEAB,ABCE,CEABABCE,11,5,311,401,6459037957,6458724577,6459046057,6458716477,2,2,2,2,67.76619139657483,45.17744266781476,56.47181703219479,80367.36030936165,80363.36030936165,80363.36030936165,80365.36030936165,80369.36030936165,80371.36030936165,1.0,-321469.4412374466,38753475598.56856,-2076343022303679.5,4.171755188523806e+19,79691,672.3603093616548,"(79691,79693,79697,79699)",11,311,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
34,81041,82721,1680,"(81041,81043,81047,81049)","(82721,82723,82727,82729)",ABCE,ABCE,ABCEABCE,5,5,401,401,6705102721,6703792561,6704120089,6704775169,2,2,2,2,67.87806204370096,45.252220494898296,56.56514126929963,81881.4913828373,81877.4913828373,81877.4913828373,81879.4913828373,81883.4913828373,81885.4913828373,1.0,-327525.9655313492,40227471766.46595,-2195923586349301.8,4.495137448621159e+19,81041,836.4913828372955,"(81041,81043,81047,81049)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
35,82721,88811,6090,"(82721,82723,82727,82729)","(88811,88813,88817,88819)",ABCE,CEAB,ABCECEAB,5,11,401,191,7347410677,7347031057,7347374137,7347067597,2,2,2,2,68.15278475606888,45.43518090342766,56.79398282974827,85716.15266090471,85712.15266090471,85712.15266090471,85714.15266090471,85718.15266090471,85720.15266090471,1.0,-342864.61064361886,44083552941.92513,-2519115033584322.5,5.398221212380088e+19,82721,2991.152660904714,"(82721,82723,82727,82729)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
36,88811,97841,9030,"(88811,88813,88817,88819)","(97841,97843,97847,97849)",CEAB,ABCE,CEABABCE,11,5,191,401,8690263237,8689944097,8690317417,8689889917,2,2,2,2,68.65637671314022,45.770895176074106,57.21363594460716,93220.89668699862,93216.89668699862,93216.89668699862,93218.89668699862,93222.89668699862,93224.89668699862,1.0,-372883.5867479945,52140813454.768425,-3240408920342799.0,7.551845620982484e+19,88811,4405.896686998618,"(88811,88813,88817,88819)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
37,97841,99131,1290,"(97841,97843,97847,97849)","(99131,99133,99137,99139)",ABCE,CEAB,ABCECEAB,5,11,401,11,9700064917,9699663217,9700057177,9699670957,2,2,2,2,68.98615303383812,45.990756214829204,57.48845462433366,98488.09184397163,98484.09184397163,98484.09184397163,98486.09184397163,98490.09184397163,98492.09184397163,1.0,-393952.36737588653,58199425390.39955,-3821300232784348.0,9.408814197546472e+19,97841,643.0918439716334,"(97841,97843,97847,97849)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
38,99131,101111,1980,"(99131,99133,99137,99139)","(101111,101113,101117,101119)",CEAB,CEAB,CEABCEAB,11,11,11,311,10023635029,10024436029,10024836541,10023234541,2,2,2,2,69.08483470112735,46.05638333315537,57.57060901714136,100119.70543563526,100115.70543563526,100115.70543563526,100117.70543563526,100121.70543563526,100123.70543563526,1.0,-400478.82174254104,60143732479.11023,-4014381850402252.0,1.004796819918689e+20,99131,984.7054356352601,"(99131,99133,99137,99139)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
39,101111,109841,8730,"(101111,101113,101117,101119)","(109841,109843,109847,109849)",CEAB,ABCE,CEABABCE,11,5,311,221,11107161937,11106792397,11107214317,11106740017,2,2,2,2,69.39253931513521,46.26167392647642,57.827106620805814,105389.8198078289,105385.8198078289,105385.8198078289,105387.8198078289,105391.8198078289,105393.8198078289,1.0,-421559.2792313156,66642084694.75987,-4682264862255481.0,1.2336576242033834e+20,101111,4274.819807828899,"(101111,101113,101117,101119)",11,311,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
40,109841,116531,6690,"(109841,109843,109847,109849)","(116531,116533,116537,116539)",ABCE,CEAB,ABCECEAB,5,11,221,191,12801033517,12800540617,12800993377,12800580757,2,2,2,2,69.81833360325003,46.54554812661137,58.181940864930695,113140.78113132533,113136.78113132533,113136.78113132533,113138.78113132533,113142.78113132533,113144.78113132533,1.0,-452563.12452530133,76805018110.03877,-5793186492833163.0,1.638614111316384e+20,109841,3295.7811313253333,"(109841,109843,109847,109849)",5,221,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
41,116531,119291,2760,"(116531,116533,116537,116539)","(119291,119293,119297,119299)",CEAB,CEAB,CEABCEAB,11,11,191,11,13901571169,13902514489,13902986161,13901099521,2,2,2,2,70.06597274938498,46.71050148062109,58.38823711500304,117906.52435093523,117902.52435093523,117902.52435093523,117904.52435093523,117908.52435093523,117910.52435093523,1.0,-471626.0974037409,83411690887.1061,-6556521705344664.0,1.9326417138814452e+20,116531,1371.5243509352294,"(116531,116533,116537,116539)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
42,119291,122201,2910,"(119291,119293,119297,119299)","(122201,122203,122207,122209)",CEAB,ABCE,CEABABCE,11,5,11,401,14578678237,14578212697,14578695697,14578195237,2,2,2,2,70.2084469747496,46.80561867591355,58.50703282533158,120741.42627574148,120737.42627574148,120737.42627574148,120739.42627574148,120743.42627574148,120745.42627574148,1.0,-482965.70510296593,87470952094.6019,-7040911672513089.0,2.125324292594018e+20,119291,1446.4262757414836,"(119291,119293,119297,119299)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64"
