pair_index,p_start,q_start,start_gap,Qp,Qq,sig_p,sig_q,sig_8,p_mod12,q_mod12,p_mod420,q_mod420,P_E,P_A,P_B,P_C,n_E,n_A,n_B,n_C,log_P_EAB,log_P_CE,log_raw_sqrt_EAB_times_CE,shadow_center_mu_geomean,shadow_start_mu_minus_4,root_1,root_2,root_3,root_4,poly_c4,poly_c3,poly_c2,poly_c1,poly_c0,projected_quad_start,projection_distance,projected_quad,projected_mod12,projected_mod420,projection_equals_left,projection_equals_right,projection_between_pair,model_note,p_mod60,q_mod60,R_11_47,energy_level,u_E,u_A,u_B,u_C,E_diag,E_1,E_2,Ptolemy_defect,Ptolemy_energy_norm,log_mu,log_projection_distance,E_EAB_minus_CE,A_EAB_CE_norm
1,5,11,6,"(5,7,11,13)","(11,13,17,19)",ABCE,CEAB,ABCECEAB,5,11,5,11,169,85,133,121,2,2,2,2,14.462899099635145,9.925689260519814,12.19429418007748,11.45995558947927,7.45995558947927,7.45995558947927,9.45995558947927,13.45995558947927,15.45995558947927,1.0,-45.83982235791708,767.9834926770229,-5561.772330635126,14685.11015583992,5,2.4599555894792697,"(5,7,11,13)",5,5,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",5,11,-1,other,5.1298987149230735,4.442651256490317,4.890349128221754,4.795790545596741,0.08459437075344191,0.06498514558204359,0.1495795163354855,-0.12997029116408718,0.43445217081923965,2.4388588360154957,1.2412557535766426,4.537209839115331,0.1860382311642125
2,11,101,90,"(11,13,17,19)","(101,103,107,109)",CEAB,ABCE,CEABABCE,11,5,11,101,1417,1717,1957,1177,2,2,2,2,22.283799067984233,14.327021346950955,18.305410207467595,38.903415214718855,34.903415214718855,34.903415214718855,36.903415214718855,40.903415214718855,42.903415214718855,1.0,-155.61366085887542,9060.85429221291,-233961.36008095843,2260403.22670378,11,23.903415214718855,"(11,13,17,19)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,7.256297239690681,7.448333860897476,7.579167967396076,7.0707241072602764,0.12191913594549768,0.09763984097381932,0.024279294971678356,0.0,0.0,3.6610820414935192,3.2150049512830954,7.956777721033278,0.2173340458054131
3,101,191,90,"(101,103,107,109)","(191,193,197,199)",ABCE,CEAB,ABCECEAB,5,11,101,191,21037,19897,20497,20437,2,2,2,2,29.7803961296674,19.879140333642567,24.829768231654985,143.44528113259128,139.44528113259128,139.44528113259128,141.44528113259128,145.44528113259128,147.44528113259128,1.0,-573.7811245303651,123439.29207524889,-11800697.428864546,422982888.5742384,101,38.44528113259128,"(101,103,107,109)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,9.954038071134029,9.898324245579248,9.928033812954128,9.925102262508537,0.000696342465774973,0.0001633278901307288,0.0008596703559057018,-0.00032665578026145757,0.1899889754354219,4.965953646330997,3.6749144237264026,9.90125579602483,0.19938276716175538
4,191,821,630,"(191,193,197,199)","(821,823,827,829)",CEAB,ABCE,CEABABCE,11,5,191,401,159997,161737,163777,157957,2,2,2,2,35.98289820763216,23.9529884671105,29.96794333737133,400.85055116323855,396.85055116323855,396.85055116323855,398.85055116323855,402.85055116323855,404.85055116323855,1.0,-1603.4022046529542,964066.9862072328,-257620499.17160335,25815223023.32778,191,205.85055116323855,"(191,193,197,199)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,11.98291034404018,11.993726838190417,12.006261025401562,11.970078123070321,0.0005522136113754661,0.000391372151404477,0.0001608414599709891,-2.710505431213761e-20,2.4542182367276074e-17,5.993588667474266,5.331996557459049,12.02990974052166,0.20071296860602106
5,821,1481,660,"(821,823,827,829)","(1481,1483,1487,1489)",ABCE,ABCE,ABCEABCE,5,5,401,221,1234381,1215901,1220509,1229749,2,2,2,2,42.05185465435453,28.048400829303148,35.05012774182884,1107.6828040246376,1103.6828040246376,1103.6828040246376,1105.6828040246376,1109.6828040246376,1111.6828040246376,1.0,-4430.73121609855,7361747.165991303,-5436290957.355675,1505409233236.4355,821,282.68280402463756,"(821,823,827,829)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,41,2,warm_+2,14.026080187819304,14.010995923720227,14.014778542815002,14.022320641483846,0.0001279879399383381,0.00011376700818214662,1.4220931756191475e-05,1.0164395367051604e-20,3.97084106984947e-17,7.010025548365769,5.647856726740659,14.00345382505138,0.1997632352183934
6,1481,1871,390,"(1481,1483,1487,1489)","(1871,1873,1877,1879)",ABCE,CEAB,ABCECEAB,5,11,221,191,2788897,2779837,2786557,2782177,2,2,2,2,44.5193769275338,29.67990100786234,37.09963896769807,1668.9129970937688,1664.9129970937688,1664.9129970937688,1666.9129970937688,1670.9129970937688,1672.9129970937688,1.0,-6675.651988375075,16711603.551211037,-18593430408.249733,7757676564579.7,1481,183.9129970937688,"(1481,1483,1487,1489)",5,221,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,14.841156735128097,14.837902850854308,14.840317341551398,14.838744272734244,7.062841213130298e-07,5.118583885723567e-06,5.824868007036597e-06,-1.0237167771447134e-05,0.8787467595042806,7.419927793539614,5.219885428479563,14.839475919671457,0.19999488313878067
7,1871,2081,210,"(1871,1873,1877,1879)","(2081,2083,2087,2089)",CEAB,ABCE,CEABABCE,11,5,191,401,3912697,3906037,3913957,3904777,2,2,2,2,45.53783076765524,30.357448697351945,37.94763973250359,1977.37986431284,1973.37986431284,1973.37986431284,1975.37986431284,1979.37986431284,1981.37986431284,1.0,-7909.51945725136,23460166.766739193,-30926388188.51785,15288265219727.133,1871,102.37986431284004,"(1871,1873,1877,1879)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,15.179737464000654,15.178033862980143,15.180059440674437,15.17771123335129,1.0387921476192123e-07,4.000408392083369e-06,4.1042876068452906e-06,-8.000816784166738e-06,0.9746900742071126,7.589527946500718,4.63841020725823,15.180382070303292,0.20001747377849063
8,2081,3251,1170,"(2081,2083,2087,2089)","(3251,3253,3257,3259)",ABCE,CEAB,ABCECEAB,5,11,401,311,6795517,6777817,6788497,6784837,2,2,2,2,47.19167943979832,31.461974515411026,39.32682697760467,2605.462275685877,2601.462275685877,2601.462275685877,2603.462275685877,2607.462275685877,2609.462275685877,1.0,-10421.849102743508,40730582.020133376,-70747927134.46396,46082695923682.08,2081,520.4622756858771,"(2081,2083,2087,2089)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,15.731773688029918,15.729165631669868,15.730740120098533,15.730200827381106,1.0699450898422933e-06,1.406505801613925e-06,2.476450891456218e-06,-2.81301160322785e-06,0.5679522281125722,7.865365395520935,6.256636933733941,15.729704924387296,0.19998695716469628
9,3251,3461,210,"(3251,3253,3257,3259)","(3461,3463,3467,3469)",CEAB,ABCE,CEABABCE,11,5,311,101,11284657,11272477,11285917,11271217,2,2,2,2,48.71589544559467,32.476717439432036,40.59630644251335,3358.538837232577,3354.538837232577,3354.538837232577,3356.538837232577,3360.538837232577,3362.538837232577,1.0,-13434.155348930308,67678678.7271973,-151534224410.88324,127233281665699.84,3251,103.53883723257697,"(3251,3253,3257,3259)",11,311,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,16.238954573443102,16.23787464891158,16.239066223239984,16.23776286598893,1.2480540608483704e-08,1.407527468752631e-06,1.4200080093611148e-06,-2.815054937505262e-06,0.9912109364692253,8.119261288502669,4.649558650519427,16.239178006162632,0.20000807252204358
10,3461,5651,2190,"(3461,3463,3467,3469)","(5651,5653,5657,5659)",ABCE,CEAB,ABCECEAB,5,11,101,191,19610257,19578877,19597117,19592017,2,2,2,2,50.37241816416849,33.58219604895991,41.9773071065642,4426.929118014215,4422.929118014215,4422.929118014215,4424.929118014215,4428.929118014215,4430.929118014215,1.0,-17707.71647205686,117586188.49553272,-347030363100.0115,384069508833671.5,3461,961.9291180142154,"(3461,3463,3467,3469)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,16.79156330364504,16.7899618389785,16.790893021544946,16.790632745314866,4.4969650810772866e-07,4.1682318601341733e-07,8.66519694121146e-07,-8.336463720268347e-07,0.48103140510403947,8.39546142131284,6.869979803704085,16.79022211520858,0.19999165349726555
11,5651,9431,3780,"(5651,5653,5657,5659)","(9431,9433,9437,9439)",CEAB,CEAB,CEABCEAB,11,11,191,191,53324749,53385109,53415301,53294581,2,2,2,2,53.3785613211571,35.58325632949887,44.48090882532799,7304.031719812825,7300.031719812825,7300.031719812825,7302.031719812825,7306.031719812825,7308.031719812825,1.0,-29216.1268792513,320093256.18419135,-1558647336204.1584,2846101862420504.5,5651,1649.031719812825,"(5651,5653,5657,5659)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,11,-2,cold_-2,17.791911115325146,17.79304240736449,17.79360779846747,17.791345214173727,2.879599076031589e-06,2.5596435998529553e-06,3.1995547617863365e-07,2.6469779601696886e-22,4.596087667553918e-17,8.896181765065597,7.40854979083883,17.795304991658227,0.2000330643146095
12,9431,13001,3570,"(9431,9433,9437,9439)","(13001,13003,13007,13009)",CEAB,ABCE,CEABABCE,11,5,191,401,122713897,122690437,122735317,122669017,2,2,2,2,55.87608183221118,37.25036653085904,46.563224181535105,11077.206818272549,11073.206818272549,11073.206818272549,11075.206818272549,11079.206818272549,11081.206818272549,1.0,-44308.82727309019,736227045.3687028,-5436892535777.716,1.5056394539837964e+16,9431,1642.206818272547,"(9431,9433,9437,9439)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,18.625366163251414,18.6251749685835,18.625540700376263,18.625000367607626,3.0474352324995946e-08,1.0330874426196704e-07,1.3378309658696297e-07,-2.0661748852393406e-07,0.7722107418466971,9.312644836307022,7.404404988552581,18.625715301352137,0.20000457043885575
13,13001,15641,2640,"(13001,13003,13007,13009)","(15641,15643,15647,15649)",ABCE,ABCE,ABCEABCE,5,5,401,101,203577841,203348641,203405929,203520529,2,2,2,2,57.39270569861424,38.262836438130535,47.827771068372385,14264.856637853774,14260.856637853774,14260.856637853774,14262.856637853774,14266.856637853774,14268.856637853774,1.0,-57059.4265514151,1220916789.3911254,-11610801597879.23,4.140660302621641e+16,13001,1259.8566378537744,"(13001,13003,13007,13009)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,41,2,warm_+2,19.13155900076473,19.13043250723641,19.13071419061309,19.1312774373658,7.138055507352411e-07,6.344938217743171e-07,7.931172896092397e-08,-2.6469779601696886e-23,1.854130972674016e-17,9.565554213674476,7.13954664025024,19.12986926048371,0.1999870455298505
14,15641,15731,90,"(15641,15643,15647,15649)","(15731,15733,15737,15739)",ABCE,CEAB,ABCECEAB,5,11,101,191,246205717,246142417,246205177,246142957,2,2,2,2,57.96477464879208,38.64310104352816,48.303937846160125,15690.136872389576,15686.136872389576,15686.136872389576,15688.136872389576,15692.136872389576,15694.136872389576,1.0,-62760.5474895583,1477082350.4459138,-15450415748454.545,6.060478199533991e+16,15731,44.86312761042427,"(15731,15733,15737,15739)",11,191,False,True,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,19.321677992403597,19.321420857275108,19.321675799113372,19.32142305112456,4.811748562790796e-12,6.499038657809265e-08,6.499519832665545e-08,-1.299807731561853e-07,0.9999259676301223,9.660787569232022,3.8256614741977266,19.321673605263918,0.2000010192419527
